sid,id,target,category,polarity,from,to
10239:5,10239:5:3,мясо,FOOD#QUALITY,positive,75,79
10239:5,10239:5:4,птица,FOOD#QUALITY,positive,83,88
10239:6,10239:6:0,NULL,FOOD#QUALITY,positive,0,0
10239:7,10239:7:0,"ресторан ""Веритас""",RESTAURANT#GENERAL,positive,54,72
10239:8,10239:8:0,"""Веритас""",RESTAURANT#GENERAL,positive,131,140
10239:9,10239:9:0,персоналу,SERVICE#GENERAL,positive,16,25
10239:9,10239:9:1,прием,SERVICE#GENERAL,positive,63,68
1032:1,1032:1:0,NULL,RESTAURANT#GENERAL,negative,0,0
1032:2,1032:2:0,официантов,SERVICE#GENERAL,negative,35,45
1032:2,1032:2:1,блюдах,FOOD#QUALITY,negative,54,60
1032:4,1032:4:0,пицца,FOOD#QUALITY,negative,21,26
1032:5,1032:5:0,Официант,SERVICE#GENERAL,negative,0,8
1032:6,1032:6:0,NULL,SERVICE#GENERAL,negative,0,0
1032:7,1032:7:0,NULL,SERVICE#GENERAL,negative,0,0
1032:9,1032:9:0,Официант,SERVICE#GENERAL,negative,0,8
1032:10,1032:10:0,кухню,FOOD#QUALITY,negative,3,8
1032:10,1032:10:1,панакота,FOOD#QUALITY,positive,59,67
1032:11,1032:11:0,Салат Цезарь,FOOD#QUALITY,negative,0,12
1032:11,1032:11:1,пицца,FOOD#QUALITY,negative,41,46
1032:12,1032:12:0,сервис,SERVICE#GENERAL,negative,3,9
1032:12,1032:12:1,официант,SERVICE#GENERAL,negative,18,26
1032:13,1032:13:0,NULL,SERVICE#GENERAL,negative,0,0
1032:14,1032:14:0,няню,SERVICE#GENERAL,positive,24,28
1032:14,1032:14:1,девушка,SERVICE#GENERAL,positive,60,67
10354:0,10354:0:0,заведение,RESTAURANT#GENERAL,positive,113,122
10354:0,10354:0:1,заведение,AMBIENCE#GENERAL,positive,113,122
10354:0,10354:0:2,кухней,FOOD#QUALITY,positive,133,139
10354:2,10354:2:0,Администрация,SERVICE#GENERAL,positive,0,13
10354:3,10354:3:0,Кухня,FOOD#QUALITY,positive,0,5
10354:3,10354:3:1,обслуживание,SERVICE#GENERAL,positive,32,44
10354:3,10354:3:2,девушки-официантки,SERVICE#GENERAL,positive,51,69
10354:4,10354:4:0,NULL,RESTAURANT#PRICES,positive,0,0
10354:4,10354:4:1,администрация,SERVICE#GENERAL,positive,37,50
10354:5,10354:5:0,"""Чебурек""",RESTAURANT#GENERAL,positive,41,50
10354:6,10354:6:0,NULL,RESTAURANT#GENERAL,positive,0,0
10354:7,10354:7:0,NULL,RESTAURANT#PRICES,negative,0,0
10354:8,10354:8:0,NULL,RESTAURANT#PRICES,negative,0,0
10354:9,10354:9:0,ужин,RESTAURANT#PRICES,negative,48,52
10354:11,10354:11:0,чебуреки с сыром сулугуни и зеленью,FOOD#QUALITY,positive,31,66
10354:11,10354:11:1,сациви из баклажан,FOOD#QUALITY,positive,81,99
10354:11,10354:11:2,суп чанахи,FOOD#QUALITY,positive,101,111
10354:11,10354:11:3,хинкали,FOOD#QUALITY,positive,125,132
10354:11,10354:11:4,бараньи ножки,FOOD#QUALITY,positive,150,163
10354:12,10354:12:0,NULL,FOOD#QUALITY,positive,0,0
1052:1,1052:1:0,кухня,FOOD#QUALITY,positive,42,47
1052:3,1052:3:0,вин,DRINKS#STYLE_OPTIONS,neutral,15,18
1052:4,1052:4:0,Интерьер,AMBIENCE#GENERAL,positive,0,8
1052:4,1052:4:1,гардероб,RESTAURANT#MISCELLANEOUS,positive,24,32
1052:4,1052:4:2,диваны,AMBIENCE#GENERAL,positive,34,40
1052:4,1052:4:3,музыка,AMBIENCE#GENERAL,positive,74,80
1052:4,1052:4:4,атмосфера,AMBIENCE#GENERAL,positive,140,149
1052:6,1052:6:0,Обслуживание,SERVICE#GENERAL,negative,0,12
1052:7,1052:7:0,официант,SERVICE#GENERAL,negative,28,36
1052:9,1052:9:0,NULL,SERVICE#GENERAL,negative,0,0
1052:10,1052:10:0,официантка,SERVICE#GENERAL,negative,11,21
1052:11,1052:11:0,NULL,RESTAURANT#PRICES,positive,0,0
1052:11,1052:11:1,место,RESTAURANT#GENERAL,positive,18,23
1052:11,1052:11:2,персонала,SERVICE#GENERAL,negative,100,109
10625:2,10625:2:0,NULL,SERVICE#GENERAL,positive,0,0
10625:5,10625:5:0,вентиляция,AMBIENCE#GENERAL,positive,83,93
10625:6,10625:6:0,NULL,FOOD#QUALITY,positive,0,0
10625:7,10625:7:0,Интерьер,AMBIENCE#GENERAL,neutral,0,8
10625:9,10625:9:0,сервиса,SERVICE#GENERAL,negative,13,20
10625:9,10625:9:1,официантка,SERVICE#GENERAL,negative,25,35
10625:10,10625:10:0,NULL,SERVICE#GENERAL,positive,0,0
10625:12,10625:12:0,повар,FOOD#STYLE_OPTIONS,negative,8,13
10625:12,10625:12:1,майонез,FOOD#STYLE_OPTIONS,negative,52,59
10625:12,10625:12:2,соус,FOOD#STYLE_OPTIONS,negative,65,69
10625:14,10625:14:0,место,RESTAURANT#GENERAL,positive,22,27
10645:2,10645:2:0,сервис,SERVICE#GENERAL,neutral,4,10
10645:4,10645:4:0,Интерьер,AMBIENCE#GENERAL,neutral,0,8
10645:5,10645:5:0,Еда,FOOD#QUALITY,positive,0,3
10645:6,10645:6:0,NULL,FOOD#QUALITY,positive,0,0
10645:6,10645:6:1,NULL,FOOD#PRICES,positive,0,0
10645:7,10645:7:0,Подача плова,FOOD#STYLE_OPTIONS,conflict,0,12
10645:10,10645:10:0,блюд из мяса,FOOD#STYLE_OPTIONS,negative,26,38
10645:11,10645:11:0,шашлыку,FOOD#STYLE_OPTIONS,neutral,27,34
10663:1,10663:1:0,отношение,SERVICE#GENERAL,positive,24,33
10663:2,10663:2:0,мужчина из гардероба,SERVICE#GENERAL,positive,26,46
10663:3,10663:3:0,NULL,SERVICE#GENERAL,positive,0,0
10663:4,10663:4:0,администратора,SERVICE#GENERAL,positive,11,25
10663:4,10663:4:1,девушка,SERVICE#GENERAL,positive,42,49
10663:5,10663:5:0,NULL,SERVICE#GENERAL,positive,0,0
10663:6,10663:6:0,Девушки официантки,SERVICE#GENERAL,positive,0,18
10663:6,10663:6:1,интерьер,AMBIENCE#GENERAL,positive,48,56
10663:8,10663:8:0,встреча,SERVICE#GENERAL,positive,15,22
10663:9,10663:9:0,NULL,SERVICE#GENERAL,positive,0,0
10663:9,10663:9:1,чая,DRINKS#QUALITY,positive,72,75
10663:10,10663:10:0,Девушка официантка,SERVICE#GENERAL,positive,0,18
10663:10,10663:10:1,обслуживание,SERVICE#GENERAL,positive,58,70
10663:11,10663:11:0,Кухня,FOOD#QUALITY,positive,0,5
10663:12,10663:12:0,Мясо,FOOD#QUALITY,positive,0,4
10663:13,10663:13:0,Порции,FOOD#QUALITY,positive,0,6
10663:14,10663:14:0,NULL,RESTAURANT#GENERAL,positive,0,0
10663:15,10663:15:0,ресторана,RESTAURANT#GENERAL,positive,26,35
10663:16,10663:16:0,место,RESTAURANT#GENERAL,positive,41,46
10798:1,10798:1:0,место,RESTAURANT#GENERAL,positive,26,31
10798:1,10798:1:1,обстановке,AMBIENCE#GENERAL,positive,113,123
10798:2,10798:2:0,свечи,AMBIENCE#GENERAL,positive,31,36
10798:2,10798:2:1,кресла,AMBIENCE#GENERAL,positive,71,77
10798:2,10798:2:2,приглушенный свет,AMBIENCE#GENERAL,positive,79,96
10798:2,10798:2:3,музыка,AMBIENCE#GENERAL,positive,98,104
10798:2,10798:2:4,аромат,AMBIENCE#GENERAL,positive,106,112
10798:3,10798:3:0,Японская кухня,FOOD#QUALITY,positive,0,14
10798:3,10798:3:1,запченных роллов,FOOD#QUALITY,positive,27,43
10798:4,10798:4:0,Европейская кухня,FOOD#PRICES,positive,0,17
10798:4,10798:4:1,Европейская кухня,FOOD#QUALITY,positive,0,17
10798:4,10798:4:2,сервис,SERVICE#GENERAL,positive,95,101
10798:4,10798:4:3,девушки,SERVICE#GENERAL,positive,112,119
10798:5,10798:5:0,коктели,DRINKS#QUALITY,positive,0,7
10798:5,10798:5:1,алкоголь,DRINKS#QUALITY,positive,10,18
10825:0,10825:0:0,ресторана,RESTAURANT#GENERAL,positive,95,104
10825:1,10825:1:0,Интерьер,AMBIENCE#GENERAL,positive,0,8
10825:1,10825:1:1,молодой человек,SERVICE#GENERAL,positive,50,65
10825:2,10825:2:0,Качество кухни,FOOD#QUALITY,neutral,0,14
10825:2,10825:2:1,обслуживание,SERVICE#GENERAL,positive,34,46
10825:3,10825:3:0,NULL,RESTAURANT#GENERAL,positive,0,0
10847:1,10847:1:0,Обстановка,AMBIENCE#GENERAL,positive,0,10
10847:2,10847:2:0,обстановка,AMBIENCE#GENERAL,positive,112,122
10847:3,10847:3:0,интерьеру,AMBIENCE#GENERAL,positive,19,28
10847:4,10847:4:0,Администратор,SERVICE#GENERAL,positive,0,13
10847:4,10847:4:1,официанты,SERVICE#GENERAL,positive,16,25
10847:5,10847:5:0,персонала,SERVICE#GENERAL,positive,22,31
10847:6,10847:6:0,NULL,SERVICE#GENERAL,positive,0,0
10847:7,10847:7:0,NULL,SERVICE#GENERAL,negative,0,0
10847:8,10847:8:0,десерт,FOOD#QUALITY,positive,26,32
10847:9,10847:9:0,Десерт,FOOD#QUALITY,positive,0,6
10847:10,10847:10:0,Суши панированные в рыбных сухарях,FOOD#QUALITY,positive,0,34
10847:11,10847:11:0,кухне,FOOD#QUALITY,positive,3,8
10847:11,10847:11:1,кафе,RESTAURANT#PRICES,positive,32,36
10847:13,10847:13:0,кафе,RESTAURANT#GENERAL,positive,8,12
10847:14,10847:14:0,японскую кухню,FOOD#QUALITY,positive,52,66
10847:15,10847:15:0,втором этаже,AMBIENCE#GENERAL,positive,3,15
10847:15,10847:15:1,диванчиках,AMBIENCE#GENERAL,positive,19,29
10942:1,10942:1:0,NULL,RESTAURANT#GENERAL,positive,0,0
10942:2,10942:2:0,NULL,RESTAURANT#GENERAL,positive,0,0
10942:3,10942:3:0,интерьер,AMBIENCE#GENERAL,positive,11,19
10942:3,10942:3:1,обслуживание,SERVICE#GENERAL,positive,29,41
10942:4,10942:4:0,Кухня,FOOD#QUALITY,positive,0,5
10942:5,10942:5:0,блюда,FOOD#STYLE_OPTIONS,positive,17,22
10942:6,10942:6:0,блюдо,FOOD#STYLE_OPTIONS,positive,100,105
10942:7,10942:7:0,порции,FOOD#QUALITY,positive,8,14
10942:7,10942:7:1,порции,FOOD#STYLE_OPTIONS,positive,8,14
10942:8,10942:8:0,кальян,RESTAURANT#MISCELLANEOUS,positive,17,23
10942:9,10942:9:0,коктейлей,DRINKS#STYLE_OPTIONS,positive,21,30
10942:10,10942:10:0,оргазм,FOOD#QUALITY,positive,21,27
10942:10,10942:10:1,клубничная маргарита,FOOD#QUALITY,positive,30,50
10942:11,10942:11:0,NULL,RESTAURANT#GENERAL,positive,0,0
10985:3,10985:3:0,китайским интерьером,AMBIENCE#GENERAL,negative,23,43
10985:3,10985:3:1,диванчики,AMBIENCE#GENERAL,negative,47,56
10985:3,10985:3:2,скатерти на столах,AMBIENCE#GENERAL,negative,71,89
10985:3,10985:3:3,интерьера,AMBIENCE#GENERAL,negative,161,170
10985:4,10985:4:0,Заведение,AMBIENCE#GENERAL,negative,0,9
10985:6,10985:6:0,Меню,FOOD#STYLE_OPTIONS,negative,0,4
10985:6,10985:6:1,состав блюд,FOOD#STYLE_OPTIONS,negative,59,70
10985:7,10985:7:0,говядину,FOOD#QUALITY,positive,49,57
10985:7,10985:7:1,свинину,FOOD#QUALITY,positive,59,66
10985:7,10985:7:2,рис,FOOD#QUALITY,positive,68,71
10985:7,10985:7:3,закусок,FOOD#QUALITY,positive,78,85
10985:7,10985:7:4,порции,FOOD#STYLE_OPTIONS,positive,87,93
10985:7,10985:7:5,еда,FOOD#QUALITY,positive,114,117
10985:8,10985:8:0,посуда,FOOD#STYLE_OPTIONS,negative,8,14
10985:8,10985:8:1,сервировка,FOOD#STYLE_OPTIONS,negative,17,27
10985:9,10985:9:0,официантка,SERVICE#GENERAL,negative,20,30
10985:10,10985:10:0,NULL,FOOD#QUALITY,positive,0,0
10985:10,10985:10:1,NULL,AMBIENCE#GENERAL,negative,0,0
11027:2,11027:2:0,девушка,SERVICE#GENERAL,positive,65,72
11027:3,11027:3:0,NULL,SERVICE#GENERAL,positive,0,0
11027:4,11027:4:0,NULL,AMBIENCE#GENERAL,neutral,0,0
11027:4,11027:4:1,официант,SERVICE#GENERAL,positive,93,101
11027:5,11027:5:0,Интерьер,AMBIENCE#GENERAL,positive,0,8
11027:6,11027:6:0,дизайнерское решение,AMBIENCE#GENERAL,positive,30,50
11027:7,11027:7:0,атмосферу,AMBIENCE#GENERAL,positive,63,72
11027:8,11027:8:0,Меню,FOOD#STYLE_OPTIONS,positive,0,4
11027:9,11027:9:0,NULL,RESTAURANT#PRICES,positive,0,0
11027:10,11027:10:0,сервисом,SERVICE#GENERAL,positive,2,10
11027:11,11027:11:0,Официанты,SERVICE#GENERAL,positive,0,9
11027:12,11027:12:0,обслуживание,SERVICE#GENERAL,positive,44,56
11027:14,11027:14:0,шашлыки,FOOD#QUALITY,positive,32,39
11027:14,11027:14:1,наполеон,FOOD#QUALITY,positive,42,50
11027:15,11027:15:0,кавказский базар,RESTAURANT#MISCELLANEOUS,positive,15,31
11027:17,11027:17:0,NULL,RESTAURANT#GENERAL,positive,0,0
11027:17,11027:17:1,еде,FOOD#QUALITY,positive,18,21
11027:17,11027:17:2,атмосфере,AMBIENCE#GENERAL,positive,33,42
11027:18,11027:18:0,ресторан,RESTAURANT#GENERAL,positive,29,37
11027:19,11027:19:0,заведение,RESTAURANT#GENERAL,positive,36,45
1105:0,1105:0:0,ресторанов,RESTAURANT#GENERAL,positive,21,31
1105:1,1105:1:0,NULL,RESTAURANT#GENERAL,positive,0,0
1105:2,1105:2:0,NULL,SERVICE#GENERAL,positive,0,0
1105:3,1105:3:0,борщ с копченостями,FOOD#QUALITY,positive,30,49
1105:3,1105:3:1,роллы на гриле,FOOD#QUALITY,positive,51,65
1105:3,1105:3:2,филадельфия,FOOD#QUALITY,positive,78,89
1105:5,1105:5:0,рибай,FOOD#QUALITY,positive,6,11
1105:6,1105:6:0,салат цезарь с креветками,FOOD#QUALITY,positive,8,33
1105:7,1105:7:0,Порции,FOOD#STYLE_OPTIONS,positive,0,6
1105:7,1105:7:1,тарелки,FOOD#STYLE_OPTIONS,positive,25,32
1105:7,1105:7:2,обслуживание,SERVICE#GENERAL,positive,42,54
1105:8,1105:8:0,обслуживание,SERVICE#GENERAL,positive,3,15
1105:8,1105:8:1,официанты,SERVICE#GENERAL,positive,31,40
1105:9,1105:9:0,Шеф-повар,SERVICE#GENERAL,positive,0,9
1105:10,1105:10:0,бизнес-ланч,FOOD#QUALITY,positive,5,16
1105:12,1105:12:0,Интерьер,AMBIENCE#GENERAL,neutral,0,8
1105:13,1105:13:0,заведении,RESTAURANT#GENERAL,positive,9,18
1105:14,1105:14:0,заведения,RESTAURANT#GENERAL,positive,21,30
1105:15,1105:15:0,NULL,RESTAURANT#GENERAL,positive,0,0
1105:16,1105:16:0,NULL,LOCATION#GENERAL,neutral,0,0
1105:17,1105:17:0,NULL,RESTAURANT#GENERAL,positive,0,0
11058:3,11058:3:0,NULL,SERVICE#GENERAL,positive,0,0
11058:4,11058:4:0,NULL,SERVICE#GENERAL,positive,0,0
11058:6,11058:6:0,NULL,SERVICE#GENERAL,positive,0,0
11058:7,11058:7:0,NULL,SERVICE#GENERAL,positive,0,0
11058:8,11058:8:0,NULL,SERVICE#GENERAL,positive,0,0
11058:9,11058:9:0,официантка,SERVICE#GENERAL,neutral,82,92
11058:10,11058:10:0,Поленте,RESTAURANT#GENERAL,positive,31,38
11102:0,11102:0:0,ресторан,RESTAURANT#GENERAL,positive,17,25
11102:1,11102:1:0,NULL,RESTAURANT#PRICES,positive,0,0
11102:1,11102:1:1,меню,FOOD#STYLE_OPTIONS,positive,11,15
11102:2,11102:2:0,суп в хлебе,FOOD#QUALITY,positive,11,22
11102:3,11102:3:0,интерьер,AMBIENCE#GENERAL,positive,9,17
11102:3,11102:3:1,персонал,SERVICE#GENERAL,positive,29,37
11102:3,11102:3:2,атмосфера,AMBIENCE#GENERAL,positive,46,55
11102:4,11102:4:0,детский уголок,RESTAURANT#MISCELLANEOUS,positive,33,47
11102:5,11102:5:0,NULL,FOOD#QUALITY,positive,0,0
11102:5,11102:5:1,место,RESTAURANT#GENERAL,positive,23,28
11102:5,11102:5:2,место,RESTAURANT#PRICES,positive,23,28
11155:4,11155:4:0,сервису,SERVICE#GENERAL,positive,2,9
11155:4,11155:4:1,интерьер,AMBIENCE#GENERAL,positive,118,126
11155:4,11155:4:2,еда,FOOD#QUALITY,negative,156,159
11155:5,11155:5:0,Салат цезарь,FOOD#QUALITY,negative,0,12
11155:5,11155:5:1,листья салата,FOOD#QUALITY,negative,29,42
11155:5,11155:5:2,бекона,FOOD#QUALITY,negative,52,58
11155:5,11155:5:3,соусе,FOOD#QUALITY,negative,80,85
11155:5,11155:5:4,сыр,FOOD#QUALITY,negative,94,97
11155:6,11155:6:0,гребешки,FOOD#QUALITY,neutral,11,19
11155:6,11155:6:1,уксусом,FOOD#QUALITY,negative,46,53
11155:6,11155:6:2,пюре,FOOD#QUALITY,negative,54,58
11155:7,11155:7:0,телятина,FOOD#QUALITY,negative,61,69
11155:7,11155:7:1,картофельной котлете,FOOD#QUALITY,negative,94,114
11155:9,11155:9:0,скидкой,FOOD#PRICES,positive,22,29
11155:10,11155:10:0,блюда,FOOD#QUALITY,negative,75,80
11155:11,11155:11:0,улиток,FOOD#QUALITY,negative,12,18
11155:11,11155:11:1,говядину,FOOD#QUALITY,negative,21,29
11155:12,11155:12:0,NULL,FOOD#QUALITY,negative,0,0
11155:13,11155:13:0,устриц,FOOD#STYLE_OPTIONS,negative,47,53
11155:14,11155:14:0,Свежевыжатый сок,DRINKS#QUALITY,positive,0,16
11155:14,11155:14:1,хлеб,FOOD#QUALITY,positive,19,23
11155:14,11155:14:2,хлеба,FOOD#QUALITY,positive,46,51
11155:16,11155:16:0,NULL,RESTAURANT#GENERAL,negative,0,0
11267:0,11267:0:0,месте,RESTAURANT#GENERAL,negative,30,35
11267:1,11267:1:0,Обслуживание,SERVICE#GENERAL,negative,0,12
11267:1,11267:1:1,офицантки,SERVICE#GENERAL,negative,47,56
11267:2,11267:2:0,еды,FOOD#QUALITY,neutral,16,19
11267:2,11267:2:1,блюдо,FOOD#QUALITY,neutral,30,35
11267:3,11267:3:0,ресторанчике,RESTAURANT#GENERAL,negative,34,46
11267:4,11267:4:0,супа,FOOD#QUALITY,negative,19,23
11267:5,11267:5:0,Интерьер,AMBIENCE#GENERAL,negative,0,8
11267:6,11267:6:0,место,RESTAURANT#GENERAL,negative,33,38
11355:1,11355:1:0,Твинс,RESTAURANT#GENERAL,positive,15,20
11355:2,11355:2:0,Официант,SERVICE#GENERAL,positive,0,8
11355:3,11355:3:0,кухню,FOOD#QUALITY,neutral,4,9
11355:5,11355:5:0,Америка,FOOD#QUALITY,neutral,0,7
11355:5,11355:5:1,рыбы,FOOD#STYLE_OPTIONS,negative,34,38
11355:5,11355:5:2,чукка салат,FOOD#QUALITY,positive,40,51
11355:5,11355:5:3,чай,DRINKS#QUALITY,negative,60,63
11355:6,11355:6:0,NULL,RESTAURANT#GENERAL,positive,0,0
11388:1,11388:1:0,NULL,RESTAURANT#GENERAL,positive,0,0
11388:2,11388:2:0,Интерьер,AMBIENCE#GENERAL,positive,0,8
11388:3,11388:3:0,Кухня,FOOD#QUALITY,positive,0,5
11388:4,11388:4:0,NULL,RESTAURANT#GENERAL,positive,0,0
11388:6,11388:6:0,музыкальный коллектив,AMBIENCE#GENERAL,positive,17,38
11388:6,11388:6:1,музыка,AMBIENCE#GENERAL,positive,48,54
11388:7,11388:7:0,обслуживанию,SERVICE#GENERAL,positive,3,15
11388:8,11388:8:0,Официанты,SERVICE#GENERAL,positive,0,9
11388:9,11388:9:0,место,RESTAURANT#GENERAL,positive,16,21
11421:0,11421:0:0,ресторане,RESTAURANT#GENERAL,positive,12,21
11421:2,11421:2:0,обслуживание,SERVICE#GENERAL,positive,9,21
11421:3,11421:3:0,меню,FOOD#STYLE_OPTIONS,positive,25,29
11421:3,11421:3:1,разнообразия блюд,FOOD#STYLE_OPTIONS,positive,81,98
11421:4,11421:4:0,кухне,FOOD#QUALITY,positive,25,30
11421:6,11421:6:0,музыка,AMBIENCE#GENERAL,positive,21,27
11421:7,11421:7:0,NULL,AMBIENCE#GENERAL,positive,0,0
11421:7,11421:7:1,ресторан,RESTAURANT#GENERAL,positive,34,42
11421:8,11421:8:0,NULL,RESTAURANT#GENERAL,positive,0,0
11532:3,11532:3:0,дорогу,LOCATION#GENERAL,negative,33,39
11532:4,11532:4:0,Интерьер,AMBIENCE#GENERAL,positive,0,8
11532:4,11532:4:1,места,AMBIENCE#GENERAL,positive,27,32
11532:4,11532:4:2,аквариум,AMBIENCE#GENERAL,positive,72,80
11532:4,11532:4:3,официанты,SERVICE#GENERAL,positive,132,141
11532:5,11532:5:0,Окна в пол,AMBIENCE#GENERAL,positive,0,10
11532:5,11532:5:1,вид на залив,LOCATION#GENERAL,positive,13,25
11532:6,11532:6:0,заведению,RESTAURANT#PRICES,neutral,20,29
11532:7,11532:7:0,Кофе,FOOD#QUALITY,positive,0,4
11532:7,11532:7:1,чай с мятой,DRINKS#QUALITY,positive,6,17
11532:8,11532:8:0,цезарь с тунцом,FOOD#QUALITY,positive,7,22
11532:8,11532:8:1,тунец,FOOD#QUALITY,positive,38,43
11532:8,11532:8:2,суп-пюре картофельный,FOOD#QUALITY,positive,46,67
11532:8,11532:8:3,ягодный сорбет,FOOD#QUALITY,positive,123,137
11532:8,11532:8:4,пасту с морепродуктами,FOOD#QUALITY,positive,141,163
11532:9,11532:9:0,десерт,FOOD#QUALITY,positive,12,18
11532:9,11532:9:1,мороженое,FOOD#QUALITY,positive,19,28
11532:10,11532:10:0,мороженого,FOOD#QUALITY,positive,16,26
11532:11,11532:11:0,NULL,SERVICE#GENERAL,positive,0,0
11532:13,11532:13:0,NULL,RESTAURANT#PRICES,positive,0,0
11532:14,11532:14:0,Хлебная корзинка,FOOD#QUALITY,positive,0,16
11532:14,11532:14:1,Хлебная корзинка,FOOD#PRICES,positive,0,16
11532:15,11532:15:0,NULL,RESTAURANT#GENERAL,positive,0,0
11532:16,11532:16:0,террасу,RESTAURANT#GENERAL,positive,29,36
11770:0,11770:0:0,пабе,RESTAURANT#GENERAL,positive,16,20
11770:1,11770:1:0,пиво,DRINKS#QUALITY,positive,8,12
11770:1,11770:1:1,сырные палочки,FOOD#QUALITY,positive,14,28
11770:2,11770:2:0,обслуживание,SERVICE#GENERAL,positive,8,20
11770:5,11770:5:0,ресторан,RESTAURANT#GENERAL,positive,17,25
11770:6,11770:6:0,NULL,RESTAURANT#GENERAL,positive,0,0
11770:7,11770:7:0,блюда,FOOD#STYLE_OPTIONS,negative,38,43
11770:8,11770:8:0,ягод,FOOD#STYLE_OPTIONS,negative,14,18
11770:8,11770:8:1,фрукта,FOOD#STYLE_OPTIONS,negative,23,29
11770:8,11770:8:2,специй,FOOD#STYLE_OPTIONS,negative,46,52
11770:8,11770:8:3,мясе,FOOD#STYLE_OPTIONS,negative,55,59
11770:12,11770:12:0,стейка,FOOD#QUALITY,positive,56,62
11770:13,11770:13:0,NULL,FOOD#QUALITY,positive,0,0
11770:14,11770:14:0,приготовления,FOOD#QUALITY,positive,8,21
11770:15,11770:15:0,мясо полусырое,FOOD#STYLE_OPTIONS,positive,34,48
11770:16,11770:16:0,повара,FOOD#QUALITY,positive,80,86
11770:17,11770:17:0,стейк,FOOD#QUALITY,positive,23,28
11770:18,11770:18:0,блюдо тартар с сырой рыбой и сырым яйцом,FOOD#QUALITY,positive,20,60
11770:19,11770:19:0,Официанты,SERVICE#GENERAL,positive,0,9
11770:19,11770:19:1,обстановкая,AMBIENCE#GENERAL,positive,38,49
11770:20,11770:20:0,ресторан,RESTAURANT#GENERAL,positive,9,17
11793:0,11793:0:0,заведения,RESTAURANT#GENERAL,positive,42,51
11793:1,11793:1:0,качество кухни,FOOD#QUALITY,positive,54,68
11793:2,11793:2:0,мест,RESTAURANT#GENERAL,positive,21,25
11793:3,11793:3:0,суши,FOOD#QUALITY,positive,36,40
11793:3,11793:3:1,роллы,FOOD#QUALITY,positive,43,48
11793:4,11793:4:0,NULL,FOOD#QUALITY,positive,0,0
11793:4,11793:4:1,NULL,SERVICE#GENERAL,positive,0,0
11793:5,11793:5:0,сети ресторанов,RESTAURANT#GENERAL,positive,29,44
11793:5,11793:5:1,сервиса,SERVICE#GENERAL,positive,114,121
11793:5,11793:5:2,кухни,FOOD#QUALITY,positive,124,129
